Candidate Name,Party,Status,State,Constituency
SANGEETA MOHAN CHENDAVANKAR,Maharashtra Navnirman sena,Applied,Maharashtra,MURBAD
ASHOK DATTATRAY KALE,Independent,Applied,Maharashtra,AMBEGAON
DIPAK DATTARAM GHOLAP PATIL,Hindustan Jansewa Paksh,Applied,Maharashtra,AMBEGAON
ANSARI RAHIL AHAMAD MOHAMMAD HANEEF,Social Democratic Party Of India,Applied,Maharashtra,MALEGAON CENTRAL
SAKIB AKHLAK AHMED,Independent,Applied,Maharashtra,MALEGAON CENTRAL
FARHAN SHAKEEL AHAMAD,Minorities Democratic Party,Applied,Maharashtra,MALEGAON CENTRAL
SANJAY MOTIRAMJI MONDHORIYA,Apni Prajahit Party,Applied,Maharashtra,SAVNER
KALIM AKHTAR MOHAMAD YUSUF,Independent,Applied,Maharashtra,MALEGAON CENTRAL
RAJENDRA MANIKRAO ATRAM,Independent,Applied,Maharashtra,SAVNER
RAFEEQ AHAMAD SHABBIR RAZA,Independent,Applied,Maharashtra,MALEGAON CENTRAL
PANKAJ UMAJI BAGDE,Independent,Applied,Maharashtra,SAVNER
SHOEB KHAN GULAB KHAN,Independent,Applied,Maharashtra,MALEGAON CENTRAL
RAJESH SHRIRAM SHRIKHANDE,Janhit Lokshahi Party,Applied,Maharashtra,SAVNER
MUKESH SUBHASH MITTAL,Independent,Applied,Maharashtra,SAVNER
VINOD BAPURAO JIVTODE GURUJI,Independent,Applied,Maharashtra,SAVNER
NIKHADE GHANASHYAM DAULATRAO,Maharashtra Navnirman sena,Applied,Maharashtra,SAVNER
RAMESH SHAMRAO WARTHI,Independent,Applied,Maharashtra,SAVNER
MEHMOOD YUSUF SIDDIQUI,Independent,Applied,Maharashtra,SAVNER
GAJANAN BHINGARE,Independent,Applied,Maharashtra,SAVNER
ADV PRADIP SHALIKRAM SOMKUWAR,Independent,Applied,Maharashtra,SAVNER
ASHISH DESHMUKH,Independent,Applied,Maharashtra,SAVNER
TARABAI BABULALJI GAURAKAR,Bahujan Samaj Party,Applied,Maharashtra,SAVNER
DR ASHISHRAO DESHMUKH,Bharatiya Janata Party,Applied,Maharashtra,SAVNER
DR ASHISHRAO DESHMUKH,Bharatiya Janata Party,Applied,Maharashtra,SAVNER
DR ASHISHRAO DESHMUKH,Bharatiya Janata Party,Applied,Maharashtra,SAVNER
ANUJA SUNIL KEDAR,Indian National Congress,Applied,Maharashtra,SAVNER
DR PRANAY SUBHASH CHANDEKAR,Prahar Janshakti Party,Applied,Maharashtra,SAVNER
AJAY KUNDALIK SAHARE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,SAVNER
DR ASHISHRAO DESHMUKH,Bharatiya Janata Party,Applied,Maharashtra,SAVNER
RISHIKESH(BUNTY) NARAYAN SHELKE,Indian National Congress,Applied,Maharashtra,NAGPUR CENTRAL
RAJKUMAR GAYAPRASAD SHAHU,Independent,Applied,Maharashtra,NAGPUR CENTRAL
MUKHTAR AHMED AKHTAR HUSSAIN KHAN,Peace Party,Applied,Maharashtra,COLABA
IRFAN AHMAD,Independent,Applied,Maharashtra,NAGPUR CENTRAL
MUKHTAR AHMED AKHTAR HUSSAIN KHAN,Peace Party,Applied,Maharashtra,COLABA
RAJU PUNJARAM KAMBE,Independent,Applied,Maharashtra,SAVNER
ASLAM KHAN RASHEED KHAN,Indian Union Muslim League,Applied,Maharashtra,NAGPUR CENTRAL
SADDAM FIROJ KHAN,Independent,Applied,Maharashtra,COLABA
BOJRAJ JAGANNATH BHUTE,Rashtra Samarpan Party,Applied,Maharashtra,SAVNER
SHAKIL AHMED,Independent,Applied,Maharashtra,NAGPUR CENTRAL
MUHAMMED RIZWAN COATWALA,Independent,Applied,Maharashtra,COLABA
GULAB MANSARAM SAHU,Independent,Applied,Maharashtra,NAGPUR CENTRAL
NASEERUDDIN SHEIKH,Minorities Democratic Party,Applied,Maharashtra,NAGPUR CENTRAL
AMOL RANJEET DESHMUKH,Independent,Applied,Maharashtra,SAVNER
ADV RAHUL SURESH NARWEKAR,Bharatiya Janata Party,Applied,Maharashtra,COLABA
VINAYAK MADHORAO PARATE (PATTIWALE),Independent,Applied,Maharashtra,NAGPUR CENTRAL
ZULFEQAR AHMAD ANSARI,Minorities Democratic Party,Applied,Maharashtra,NAGPUR CENTRAL
ASHOK BAPURAO NANWATKAR,Bhim Sena,Applied,Maharashtra,SAVNER
MOHD ZAKKI MOHD ABDUL REHMAN SHAIKH,Independent,Applied,Maharashtra,COLABA
SAYYAD SUFIYAN,Independent,Applied,Maharashtra,NAGPUR CENTRAL
DIPAK GAJANAN UMREDKAR,Independent,Applied,Maharashtra,NAGPUR CENTRAL
AKBAR SHAMIM SONAWALA,Maharashtra Navnirman sena,Applied,Maharashtra,NANDGAON
JANRAO MAHADEVRAO KEDAR,Indian National Congress,Applied,Maharashtra,SAVNER
JORGEWAR KOMAL KISHOR,Independent,Applied,Maharashtra,CHANDRAPUR
FIROZ SHAIKH KARIM SHAIKH,Independent,Applied,Maharashtra,NANDGAON
MORESHWAR KODUJI BADOLE,Independent,Applied,Maharashtra,CHANDRAPUR
MOHAMMED SHAKEEL MOHAMMAD WAKEEL KHAN,Independent,Applied,Maharashtra,NAGPUR CENTRAL
HEERA NAWAJI DEVASI,Indian National Congress,Applied,Maharashtra,COLABA
ADV VISHAL SHAMRAO RANGARI,Bahujan Republican  Socialist Party,Applied,Maharashtra,CHANDRAPUR
GAIKWAD ASHISH SHIVAJIRAO,Independent,Applied,Maharashtra,NANDGAON
GAIKWAD ASHISH SHIVAJIRAO,Independent,Applied,Maharashtra,NANDGAON
DIWAKAR VASANT KADU,Independent,Applied,Maharashtra,SAVNER
GANGADHAR NAGORAO PATHRABE,Independent,Applied,Maharashtra,NAGPUR CENTRAL
ANAND SURESHRAO INGLE,Independent,Applied,Maharashtra,CHANDRAPUR
GAIKWAD ASHISH SHIVAJIRAO,Independent,Applied,Maharashtra,NANDGAON
MOHAMMAD AFZAL BAGSARYA,Independent,Applied,Maharashtra,COLABA
SANJAY NILKANTH GAWANDE,Independent,Applied,Maharashtra,CHANDRAPUR
DHANANJAY KRISHNAJI DHAPODKAR,Independent,Applied,Maharashtra,NAGPUR CENTRAL
DHNYANDEO BHAJAN HUMANE,Independent,Applied,Maharashtra,CHANDRAPUR
VALMIK SANJAY NIKAM,Independent,Applied,Maharashtra,NANDGAON
DEVANAND NAMDEORAO LANDGE,Indian National Congress,Applied,Maharashtra,CHANDRAPUR
DHIRAJ BHOJRAJ GAJBHIYE,Independent,Applied,Maharashtra,NAGPUR CENTRAL
DEVANAND NAMDEORAO LANDGE,Independent,Applied,Maharashtra,CHANDRAPUR
SUDHAKAR RAMCHANDRA KAMDI,Independent,Applied,Maharashtra,SAVNER
SUNIL SHIVAJI JADHAV,Prahar Janshakti Party,Applied,Maharashtra,NANDGAON
MANOHAR GOPAL JADHAV,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,COLABA
MILIND JAGAN GAJBIYE,Bahujan Samaj Party,Applied,Maharashtra,NAGPUR CENTRAL
BHIMANWAR SANJAY PARSHURAM,Rashtriya Samaj Paksha,Applied,Maharashtra,CHANDRAPUR
HAJI MOHAMMAD KALAM HAJI  ABDUL KARIM,Independent,Applied,Maharashtra,NAGPUR CENTRAL
SNEHAL DEVANAND RAMTEKE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,CHANDRAPUR
RAJENDRA BHAU PATOLE,Independent,Applied,Maharashtra,PHALTAN
SHINDE SIDDESHWAR MURLIDHAR,Janhit Lokshahi Party,Applied,Maharashtra,NANDGAON
GAJANAN SHIVRAM WAZIRE,Independent,Applied,Maharashtra,MURTIZAPUR
SNEHAL DEVANAND RAMTEKE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,CHANDRAPUR
PRAVIN PRABHAKARRAO DATKE,Bharatiya Janata Party,Applied,Maharashtra,NAGPUR CENTRAL
MOHAMMAD ALIM SHAIKH,Independent,Applied,Maharashtra,COLABA
ARUN DEVIDAS KAMBLE,Republican Party of India,Applied,Maharashtra,CHANDRAPUR
GANGARAM ARUN RANDIVE,Independent,Applied,Maharashtra,PHALTAN
VANDANA PADMAKAR WASNIK,Independent,Applied,Maharashtra,MURTIZAPUR
PRAVIN PRABHAKARRAO DATKE,Bharatiya Janata Party,Applied,Maharashtra,NAGPUR CENTRAL
PRAVIN DAULATRAO PAGARE,Bahujan Samaj Party,Applied,Maharashtra,NANDGAON
JORAGEWAR KISHOR GAJANAN,Independent,Applied,Maharashtra,CHANDRAPUR
GHATODE PANKAJ MANOHARRAO,Independent,Applied,Maharashtra,SAVNER
JORAGEWAR KISHOR GAJANAN,Independent,Applied,Maharashtra,CHANDRAPUR
NITIN BHANUDAS LONDHE,Independent,Applied,Maharashtra,PHALTAN
JORAGEWAR KISHOR GAJANAN,Bharatiya Janata Party,Applied,Maharashtra,CHANDRAPUR
SANJAY RAMRAO HEDAOO,Independent,Applied,Maharashtra,NAGPUR CENTRAL
CHAND MOHAMMED SHEIKH,Independent,Applied,Maharashtra,COLABA
VISHAL SHIVAJI WADGHULE,Independent,Applied,Maharashtra,NANDGAON
BHIKAJI SHRAWAN AWCHAR,Maharashtra Navnirman sena,Applied,Maharashtra,MURTIZAPUR
SURAJ BALRAM MISHRA,All India Forward Bloc,Applied,Maharashtra,NAGPUR CENTRAL
ASHISH ASHOK MASHIRKAR,Independent,Applied,Maharashtra,CHANDRAPUR
CHANDRAKANT ALIAS SACHIN RAJARAM BHALERAO,Independent,Applied,Maharashtra,PHALTAN
GAUTAM NANAJI GAIKWAD,Bahujan Samaj Party,Applied,Maharashtra,NANDGAON
SAMRAT MANIKRAO SURWADE,All India Majlis-E-Ittehadul Muslimeen,Applied,Maharashtra,MURTIZAPUR
GANESH NANDKUMAR WAGHMARE,Independent,Applied,Maharashtra,PHALTAN
ASHISH ASHOK MASHIRKAR,Independent,Applied,Maharashtra,CHANDRAPUR
MAHADEV BAPURAO GAWALE,Independent,Applied,Maharashtra,MURTIZAPUR
MAKARAND SURESH NARWEKAR,Bharatiya Janata Party,Applied,Maharashtra,COLABA
NANDOO SAMBHAJI MORE,Independent,Applied,Maharashtra,PHALTAN
SACHIN VILAS GHADGE,Independent,Applied,Maharashtra,NANDGAON
ASHISH SHANKARAO MOHADIKAR,Kunbi Bahujan Sawrajya Party,Applied,Maharashtra,NAGPUR CENTRAL
MAHESH PANDURANG GHANGAON,Independent,Applied,Maharashtra,MURTIZAPUR
VIKASRAJE BAPUSAHEB KEDARI,Independent,Applied,Maharashtra,BHOSARI
RAJESH SHIVSHANKAR DHAKATE,Independent,Applied,Maharashtra,NAGPUR CENTRAL
GAUTAM WAMANRAO KAKADE,Independent,Applied,Maharashtra,PHALTAN
ARUN SAKHARAM GAWAI,Independent,Applied,Maharashtra,MURTIZAPUR
ROHAN NIMBAJI BORSE,Independent,Applied,Maharashtra,NANDGAON
SABEEHA BANO JAINUL ABADIN KHAN,Independent,Applied,Maharashtra,COLABA
MUKESH ANEKLAL GANGOTRI,Independent,Applied,Maharashtra,NAGPUR CENTRAL
SANTOSH KALURAM LANDGE,Independent,Applied,Maharashtra,BHOSARI
RAJSHREE HARISH KHADSE,Independent,Applied,Maharashtra,MURTIZAPUR
GORAKH RAGHO AMRALE,Independent,Applied,Maharashtra,NANDGAON
BVABAN RAMDAS KASWATE,Independent,Applied,Maharashtra,CHANDRAPUR
BUVASAHEB HUMBARE,Independent,Applied,Maharashtra,PHALTAN
RAMESH GANPATI PUNEKAR,Independent,Applied,Maharashtra,NAGPUR CENTRAL
RAJESH ABHIMANU WANKHEDE,Independent,Applied,Maharashtra,AMBERNATH
BRIJBHUSHAN MAHADEO PAZARE,Independent,Applied,Maharashtra,CHANDRAPUR
KAILASH NATTHUJI WAGHMARE,Independent,Applied,Maharashtra,NAGPUR CENTRAL
RAMESH TUKARAM ADHAV,Independent,Applied,Maharashtra,PHALTAN
GULAMNABI YUSUF MANSURI,All India Majlis-E-Inquilab-E-Millat,Applied,Maharashtra,COLABA
GANESH KASHINATH DHATRAK,Independent,Applied,Maharashtra,NANDGAON
RAMESH TUKARAM ADHAV,Swabhimani Paksha,Applied,Maharashtra,PHALTAN
RAJU KOMRAYYA DIKONDA,Abhinav Bharat Janseva Paksh,Applied,Maharashtra,AMBERNATH
LAXMIBAI EKNATH GAYAKWAD,Independent,Applied,Maharashtra,NANDGAON
JAYSHRI DIGAMBAR AGAWANE,Rashtriya Samaj Paksha,Applied,Maharashtra,PHALTAN
SUSHILA KASHINATH KAMBLE,Bahujan Samaj Party  (Ambedkar),Applied,Maharashtra,AMBERNATH
VINOD BABULAL SADAFALE,Independent,Applied,Maharashtra,MURTIZAPUR
JAYSHRI DIGAMBAR AGAWANE,Independent,Applied,Maharashtra,PHALTAN
PARMESHWAR GOVINDRAO BURLE,Rashtriya Samaj Paksha,Applied,Maharashtra,BHOSARI
VILAS HARI BORLE,Lokshahi Ekta Party,Applied,Maharashtra,COLABA
BHAURAO SUKHDEORAO TAYADE,Independent,Applied,Maharashtra,MURTIZAPUR
BHANESH RAJAM MATHANGI,Independent,Applied,Maharashtra,CHANDRAPUR
SAHIL BALCHAND TURKAR,Independent,Applied,Maharashtra,NAGPUR CENTRAL
ASHOK RAGHUNATH PATIL,Independent,Applied,Maharashtra,NANDGAON
ADV RAHUL ARUN GHOTEKAR,Independent,Applied,Maharashtra,CHANDRAPUR
DIGAMBER ROHIDAS AGAWANE,Independent,Applied,Maharashtra,PHALTAN
YOGESH SHIVAJI TILEKAR,Independent,Applied,Maharashtra,HADAPSAR
ADV RAHUL ARUN GHOTEKAR,Independent,Applied,Maharashtra,CHANDRAPUR
GOPALRAO HARIBHAU KATALE,Independent,Applied,Maharashtra,MURTIZAPUR
DIGAMBER ROHIDAS AGAWANE,Rashtriya Samaj Paksha,Applied,Maharashtra,PHALTAN
HARI DATTATRAY SAWANT,Janhit Lokshahi Party,Applied,Maharashtra,HADAPSAR
JAYSHRI KUNAL SHINDE,Independent,Applied,Maharashtra,NANDGAON
RUPESH BABANRAO THORAT,Rashtriya Samaj Paksha,Applied,Maharashtra,AMBERNATH
YASHWANT GOVIND INGOLE,Independent,Applied,Maharashtra,MURTIZAPUR
RAVI PRAKASH JADHAV,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,COLABA
BHAPKAR MARUTI SAHEBRAO,Maharashtra Swarajya party,Applied,Maharashtra,BHOSARI
PRAVARTAN DEORAO AWALE,Independent,Applied,Maharashtra,CHANDRAPUR
PRASHANT SUDAM JAGTAP,Nationalist Congress Party – Sharadchandra Pawar,Applied,Maharashtra,HADAPSAR
APARNA SURESH JADHAV,Independent,Applied,Maharashtra,AMBERNATH
PRASHANT SUDAM JAGTAP,Nationalist Congress Party – Sharadchandra Pawar,Applied,Maharashtra,HADAPSAR
SOMESHWAR RAJKUMAR KADAM,Independent,Applied,Maharashtra,BEED
ADV VIKAS BABURAO DHAGE,Bahujan Samaj Party  (Ambedkar),Applied,Maharashtra,LATUR RURAL
DR.SHEFALI BHUJBAL,Independent,Applied,Maharashtra,NANDGAON
AMRUTA PRASHANT JAGTAP,Nationalist Congress Party – Sharadchandra Pawar,Applied,Maharashtra,HADAPSAR
HINDURAO NANA GAIKWAD,Independent,Applied,Maharashtra,PHALTAN
VANITA VINOD KATALE,Independent,Applied,Maharashtra,OSMANABAD
MAHESH MAROTRAO MENDHE,Independent,Applied,Maharashtra,CHANDRAPUR
CHANDRAKANT TUKARAM BHARATE,Independent,Applied,Maharashtra,PARANDA
RAJENDRA BHOJRAJ RAWALKAR,Bahujan Samaj Party,Applied,Maharashtra,HADAPSAR
RAJENDRA BHOJRAJ RAWALKAR,Bahujan Samaj Party,Applied,Maharashtra,HADAPSAR
DAYARAM BONDRU GHODE,Independent,Applied,Maharashtra,MURTIZAPUR
SUJATA GOVIND GAIKWAD,Independent,Applied,Maharashtra,AMBERNATH
SUHAS BAPURAO KANDE,Independent,Applied,Maharashtra,NANDGAON
ARIF RAJJAK TADVI,Independent,Applied,Maharashtra,NANDURBAR
KUNAL NARAYAN PAWAR,Bahujan Mukti Party,Applied,Maharashtra,COLABA
RAJU CHINAYYA ZODE,Independent,Applied,Maharashtra,CHANDRAPUR
PRAVIN PRABHAKARRAO DATKE,Bharatiya Janata Party,Applied,Maharashtra,NAGPUR CENTRAL
AMOL KUSHABA AVAGHADE,Independent,Applied,Maharashtra,PHALTAN
ADV VISHVJEET VIJAYKUMAR SHINDE,Indian National Congress,Applied,Maharashtra,OSMANABAD
AZHAR BASHA TAMBOLI,Social Democratic Party Of India,Applied,Maharashtra,HADAPSAR
PRAKASH SAKHARAM DOLAS,Independent,Applied,Maharashtra,BHOSARI
BIBHISHAN SHAHURAJ KADAM,Independent,Applied,Maharashtra,LATUR RURAL
ADV. MANGESH SHANKAR SASANE,Independent,Applied,Maharashtra,HADAPSAR
NITESH SHIVAJI PAWAR,Hindrashtra Sangh,Applied,Maharashtra,OSMANABAD
SUHAS DWARKANATH KANDE,Independent,Applied,Maharashtra,NANDGAON
RAJU CHINAYYA ZODE,Independent,Applied,Maharashtra,CHANDRAPUR
BHISE HARIDAS CHANDAR,Bharatiya Lokvikas Party,Applied,Maharashtra,HADAPSAR
SAU SUJATA VIJAY AJANIKAR,Independent,Applied,Maharashtra,LATUR RURAL
SACHIN JALANDAR BHISE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,PHALTAN
ARIF RAJJAK TADVI,Independent,Applied,Maharashtra,NANDURBAR
SHRAVAN KUNDLIK KHANDARE,Peoples Party of India (Democratic),Applied,Maharashtra,MURTIZAPUR
SANDEEP MADHU AGARWAL,Bhim Sena,Applied,Maharashtra,NAGPUR CENTRAL
MOHAMMAD ISMAILE JUMMAN,Independent,Applied,Maharashtra,MALEGAON CENTRAL
ANJUM SUHAS KANDE,Independent,Applied,Maharashtra,NANDGAON
AZHAR BASHA TAMBOLI,Social Democratic Party Of India,Applied,Maharashtra,HADAPSAR
GANGADHAR VITTHAL BADHE,Independent,Applied,Maharashtra,HADAPSAR
ARJUN GANPAT RUKHE,Bahujan Samaj Party,Applied,Maharashtra,COLABA
VIJAY RAGHUNATHRAO AJANIKAR,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,LATUR RURAL
GUNAJI SAMBHAJI MORE,Netaji Congress Sena,Applied,Maharashtra,HADAPSAR
BABA FAIZODDIN SHAIKH,Bharatiya Congress  Paksha,Applied,Maharashtra,OSMANABAD
RATAN PRALHAD GAIKAWAD,Independent,Applied,Maharashtra,CHANDRAPUR
MALTI DINKAR VALVI,Independent,Applied,Maharashtra,NANDURBAR
VIJAY RAGHUNATHRAO AJANIKAR,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,LATUR RURAL
RAJKUMAR NARAYAN NACHNE,Independent,Applied,Maharashtra,MURTIZAPUR
BHIMRAO VITTHAL BABAR,Rashtriya Samaj Paksha,Applied,Maharashtra,PHALTAN
SAYYED HABIB YASIN,Independent,Applied,Maharashtra,HADAPSAR
MOHAMMAD KHALID ABDUL RASHEED,Indian Secular Largest Assembly of Maharashtra,Applied,Maharashtra,MALEGAON CENTRAL
ROHIDAS SUBRAO SHINDE,Independent,Applied,Maharashtra,PARANDA
RAJKUMAR NARAYAN NACHNE,Independent,Applied,Maharashtra,MURTIZAPUR
SHITAL SANTOSH GOVARI,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,BOISAR
KRUSHNA KASHINATH YADAV,Independent,Applied,Maharashtra,PHALTAN
SUDHIR BHARAT MATE,Independent,Applied,Maharashtra,HADAPSAR
ASHOK LAKSHMANRAO MHASKE,Independent,Applied,Maharashtra,CHANDRAPUR
NARSING BHAGWAN NADE,Independent,Applied,Maharashtra,LATUR RURAL
SANTOSH DEVIDAS INGLE,Independent,Applied,Maharashtra,MURTIZAPUR
GANGADHAR VITTHAL BADHE,Shiv Sena (Uddhav Balasaheb Thackeray),Applied,Maharashtra,HADAPSAR
SAMADHAN BHARAT SHINDE,Maharashtra Swarajya party,Applied,Maharashtra,LATUR RURAL
LAWRENCE JOHN GREGORY,Independent,Applied,Maharashtra,NAGPUR WEST
SANDEEP SAHEBRAO LAHANE,Independent,Applied,Maharashtra,HADAPSAR
SHAILESH DASHRATH BHUTKADE,Maharashtra Navnirman sena,Applied,Maharashtra,BOISAR
SAMADHAN BHARAT SHINDE,Maharashtra Swarajya party,Applied,Maharashtra,LATUR RURAL
MOHAMMAD ISMAILE ABDUL KHALIQ,Independent,Applied,Maharashtra,MALEGAON CENTRAL
SHIVAJI PANDURANG KAPSE,Independent,Applied,Maharashtra,OSMANABAD
BALRAJ URF BANDUDAS UDDHAVRAO KATKE,Bahujan Samaj Party,Applied,Maharashtra,BHOSARI
ASHOK ANANDRAO DHAPODKAR,Independent,Applied,Maharashtra,NAGPUR CENTRAL
RAVI RAMESHCHANDRA RATHI,Independent,Applied,Maharashtra,MURTIZAPUR
PRATIK VITHAL DORLIKAR,All Indian Republican Party,Applied,Maharashtra,CHANDRAPUR
JAGDISH BHAGWAN DHODI,Independent,Applied,Maharashtra,BOISAR
JANU,Independent,Applied,Maharashtra,AMBERNATH
INDRAJEET SUKHDEV GHADGE,Independent,Applied,Maharashtra,BHIWANDI WEST
AKSHAY VIKASRAO DESHMUKH,Rashtriya Maratha Party,Applied,Maharashtra,LATUR RURAL
AKSHAY VIKASRAO DESHMUKH,Rashtriya Maratha Party,Applied,Maharashtra,LATUR RURAL
DILIP KISANRAO PAWAR,Independent,Applied,Maharashtra,PARANDA
AFROZ MULLA,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,HADAPSAR
ARUN YASHWANTRAO BHAGAT,Jan Janwadi Party,Applied,Maharashtra,NAGPUR WEST
